,Customer Name,Review Title,Rating,Reviews
10,Mahendra P. Singh,Amazing Mi 360° home cam,4.0 out of 5 stars,"  Wifi 360° home cam is really amazing, I am using this device from 5-6 days. Two way talking is good, night-vision is good, picture quality is good, auto rotation feature is also very good, but your need high speed internet to get high quality picture with camera rotation feature to use it's features.I monitor or even move camera, when I am outside home or in office. One can also monitor kids and give instructions to them.It uses only 16 to 64 GB Class 10 memory card for storage. I use 'only record when motion detected' and after 5 days my 32 GB memory card full. It's also record even like e. g. curtain moving or even light blinks.I already attach 360°camera and wifi with inverter point, so my camera works online smoothly, even if power goes off sometimes.Suggestions for improvement in Mi Camera:Internal memory space should be given upto 256 GB to record videos up to 4-5 weeks.Other colors option should also be provide like black, etc. White colors easily catch dust and you have clean the same within short-intervals.I just buy another one arnd 14th Aug, 2019 as per performance of 1st cam. Really good one, but internal storage should be provide of min 128 GB."
11,abhishek mazumder,This is amazing product,5.0 out of 5 stars,"  My Dad is 86 yrs old and staying home alone while we are at work..I have installed the device to keep an watch that he is safe at home and to be connected all the time.He cant use phone ......till date connected with him while we are out side is a challenge as most of the time he cannot even received the call as he was confused to use phone ..now after installed this device, I feel  its actually a peace of mind....can talk to him any given point of time he can easily asked for anything at any time and most importantly he is allays in front of my eyes.Thanks to MI for such a lovely /economic/essay-go/Quality product"
12,sachin,As per description,5.0 out of 5 stars,  Very good product.Immediate connect.No hassle.Very smooth functioning and silentCan't zoom inAnd requires good connectivity
13,RP,Useless after power cut.,1.0 out of 5 stars,"  Picture quality is good. Very east to setup and install and easy to use.Disadvantage is, It will not work without WIFI and another problem I found after using 3 month is, It's stop working after power cut. You have to restart device which make product use less. You can not check remotely if power went down. Also it's work only on mobile. Can't use on PC. Difficult to get recording."
14,Brahmaji sha,You can see your rooms from anywhere in the world.,3.0 out of 5 stars,  Pros+ Works with wifi.+ Full had a picture+ You can watch and hear your home under the purview of your cc camEasy installatiin+Even small insects movements can watch through your android mobile.+ We can speak through the app to the camera. Camera has a speaker.Cons-Motion detection ring sound must include in the app.Continuous wifi and power is not possible all times. If thief cut the power cable or wifi network connection then Camera will not work.
15,Charan kohli ,Beauty with brain.,5.0 out of 5 stars,"  This is the best IP camera that I have ever used.The looks, quality and performance is a level ahead.The best things is the MI app which is really very responsive and user friendly.This records 1080p quality which is quite good for indoor use weather for office or at home. The camera has an inverted picture option if you want to hang on ceiling.The camera automatically connects back to wifi if ever power cut.You can also store the video files saved on micro sd to other computer or laptop through wifi so in case of theft or data loss you have a back up available. Motion detection sends you notification over phone app In case any movement find.Initially I was using D3D cam with which I had a horrible experience in term of quality and service backup.After using it for few days in office, I re order one for my home.Guys if you planning to buy go for it without wasting any time.You will never regret on your decision.One last thing which I find minus in this product it don’t auto rotate, one has to rotate through app to see live feeds which I notice no other company is offering in this budget.My big thumps up to MI for making this beautiful product at really affordable cost."
16,Ganesh,Worth it... No more worried,5.0 out of 5 stars,  Best in the industry for such price point .. 1080p .. very easy configuring the cam .. lovely piece of hardware ..
17,Gagan,Best Camera for home monitoring,5.0 out of 5 stars,"  I have been using this camera for a month now and here are my observations. The build quality is very good as always with mi. I am using 4GB memory card for recording and it records about 14-15 hrs which is more than enough for me. There is a small slot below the lens for memory card and no it does not come with memory card, that you need to buy yourself. The app mi home app is easy to install and use. moves 360 degree. You can even use calling function on the app to talk to other person in front of camera. Voice quality is decent. It even has a monitoring feature wherein you get an alert if there is any moment. Plus, video is recorded with voice on memory card. Image quality is excellent with night vision. Overall good buy for people who want to keep an eye on kids or old ones who need monitoring. Solves the purpose very well. Will surely buy second one."
18,surya kuchibotla,simply superb- easy to install and packed with features,5.0 out of 5 stars,"  i have tried  different wifi cameras earlier , but mi is so far the best in quality and performance .clarity is amazing and  few clicks to install.must buy for home"
19,ELEMENT,"Not Good, Not Bad",2.0 out of 5 stars,"  Main problem is connectivity, not play live feed smoothly even when  both side broadband speed is 20 mbps, picture quality is good on HD, Night vision is awesome, motion detection is working wellMi have to add 1 feature in camera is that when internet is not working , recording should continue in SD card, Currently if your internet connection  lost then your camera doesn't record the footage"
20,Brajesh kumar,Filthy chinease Product,1.0 out of 5 stars,  After one month of use the camera is getting offline inspite of continue power supply and internet supply.Need to unplug then plug in the device. If you are planning to install it and thinking to go for tour then it's very bad idea.
21,Dr Raghu Ram,Excellent deal for the price!,5.0 out of 5 stars,"  I was just looking to make my workplace CCTV equipped when I came across this. I am not a major user of the cam and this served my purpose really well. Can see what's happening at my workplace from anywhere. I am still figuring out how to get a NAS storage. Once that's done, I think this would be great. Image quality is excellent even in the dark. Ability to talk both ways and ability to pan it 360 degrees makes it an excellent purchase."
22,Ravi,Excellent,5.0 out of 5 stars,"  No DVr ,complicating wires it's as simple as charging a phone ,gives you access to view on multiple tablets mobile site etc whatever you are comfortable with ,just needs wifi ,even if you don't watch data will store on cloud for 7 days ,so even if somebody damages or steals your camera you can go and see on cloud who did that act ,option of micro sd card is there for storage on local device itself but I don't need that"
23,Joe,"The Camera is Good, but the Software (in Xiaomi /MI Home app) is Terrible",2.0 out of 5 stars,"  This is regarding the HOME SURVEILLANCE ASSISTANT feature inside the app:#1) The 10 seconds for video recording is too short. So the purpose of purchasing the camera is not fulfilled, making the device is useless.Xiaomi should give us an option to extend the recording time limit to at least 2 minutes.#2) The minimum ""Alarm Interval"" is 3 minutes, which is too long. Xiaomi should also give an option to reduce it to 1 minute.Reason for the feedback: I suffered property damage, and the perpetrator could not be identified even after installing the Camera"
24,Hriddhiman Mukherjee,Exceeds Expectations ( After 4 Months Of Extensive Use),4.0 out of 5 stars,"  This is a no brainer when it comes to the sheer Value For Money factor the product offersI am writing is after 4 Months of Regular & Extensive Use.Let's talk about the good things first:1. The product is very well made & built to last2. The power adaptor cord is long enough and can reach upto fairly good height.3.Regular Micro USB cable so a big advantage even if it goes broke in future you can replace it without any issue.4. WiFi Connectivity, Connection Esthablishedment Time is excellent ( depends on your connection speed obviously)5. Motion Detection works flawlessly, notification for motion detection works like a charm.CAMERA Quality:Steams at 1080P and if your connection is strong you won't be disappointed infact will be surprised to see the quality it offers.Low light visibility is decent but where it excels is Night Vision which works excellently for the price it comes at.The 360 deg. viewing is very good and controlling it via the mobile app is a hassle free experience.Audio quality is decent. It picks up the voices clearly but don't expect it to work like a telephone.The Digital Zoom works good. Slightly distortion can be observed when maxed out but is not a deal breaker.I have installed the Mi Home App on both my Android & Apple Device and on both the app works very good. The UI is decent and gets the work done easily. Sometimes with poor connections there's a bit of buffering issue but that again is connection dependent.Setting up the device is very easy, the voice commands guide your through the entire process and you won't find any difficulty in setting up.Once set up successfully you will hardly have any problem of connection loss , WiFi loss or issues like that. Open the app & it's working flawlessly.Obviously make sure to have a good internet connection.Cons:For the price the product comes there are very few , even if it has its like nit picking.A conventional Security Cam will cost around 5K at least if I am not worng. Set up is a hassle.You get this product for half the price, setting it up is very easy and works like charm. I am kind of a tech geek and with whatever knowledge I have this product is definitely worth every penny.So if you are looking for a security cam at a affordable price that gets the job done, then this product will meet your expectations and even exceed.I have a strong internet connection & till now I have never faced any issue. It works very good and for the price it comes at it gets the job done atleast for me."
25,A K Shetty,"Superb camera for the price, can connect with Jiofi hotspot",5.0 out of 5 stars,"  This is best security camera for the price. Basically price is peanuts for its features and quality. The video quality is great, audio quality is good but not best. Has loads of features, can do remote monitoring from anywhere in the world and also has two way talking feature.While configuring you need wifi of 2.4GHz only. Home wifi router is best because of faster internet. It also works well with Jiofi hotspot. While configuring mi home app with Jiofi select country as India (Asia server) and not India (Recommended) or else it won't connect. Regular wifi connection is straight forward.You can add more devices with single app, it has motion detection, night vision is decent, you can also share device with others, also password protect the device.The only cons of this camera is that it's best for horizontal mounts either on ceiling or flat surface. For vertical wall mounts the up and down camera movement is bit limited. However if mounted at high position it can be more flexible."
26,Alex R.,not great,2.0 out of 5 stars,"  i used Mi phone(note 4) for initial setup....i did not know that camera and phone should be on the same wiFi network....so i struggled to configure. Later i configured it once or twice successfully.Once my phone is away from WiFi, i loose the video and also when i reconnect it is not detecting the old setup.I bought this camera to monitor my home when i am out...but since this camera do not work on two networks...i am returning this.But i should agree, video  quality was good."
27,Amazon Customer,Worst customer service....sorry no customer service n bad cam,1.0 out of 5 stars,  The camera stopped working 3 months back n its still in warranty but no one to help.Tried contacting costumer service..no one answers...it goes round n round in ivr.N there are no help videos online.People who are planning to buy it...its risk n waste of money.
28,ar.ramkrish,"Excellent security cam, feature rich at great price!",5.0 out of 5 stars,"  One of the best security cam at great price. Excellent quality, feature rich, easy to setup, controllable from anywhere, can rotate 360 degree or tilt up and down, live view, supports SD card memory upto 128 GB, android application Mi Home adds huge value and ease of use, generates QR code...camera just see it and does the pairing automatically. Image quality is great, night vision works even in complete darkness, low light vision is excellent with color as well. Overall the best security capable of streaming and remote controllable camera!"
29,Amazon Customer,A must buy for your home security.,5.0 out of 5 stars,  A great product .. must buy for home .. cheapest and the best option.. the whole video quality and buffer capacity depends on your wifi speed. Tecords live video into the storage card also. Two way talk feature is amazing and also the motion detector. I am waiting for this to be available again.. this is also very easy to install.
30,Shirish Kulkarni,Go for it,5.0 out of 5 stars,"  Received in one day! Thanks to Amazon!Picture quality is amazing. Can hear what is going on at my home live. Talk back audio is sufficiently loud to warn invader. So easy to set up. QR code scanning happened in just 2 mins. Tip from my side is, just hold the phone 15 cm from camera keep it steady when the camera says scanning for qr code.. and its done.Hats off to mi for such a user friendly device."
31,manish,A descent MI product,5.0 out of 5 stars,"  It is a wonderful PTZ HD camera with good clarity. With same feature other brands are much costly.I had to buy Samsung EVO Plus Grade 3, Class 10 64GB micro SD card costing 999/-. This card works perfectly with camera. Using from 2 months and satisfied with the performance. It need high internet speed at both end.Once configured, it starts recording in card, internet wifi is needed only if you want to watch remotely.Mi should allow the access of camera from windows also."
32,Raunaq Roy,good hardware but software sucks and is intrusive,3.0 out of 5 stars,"  The hardware is great for the price. The software, as in the case of MI phones is a big sucker. they always overdo the software part. It was better if they had just released the sdk and let people develop it for free as opensource.  Also note, the software sends device data to MI server at regular intervals, so if you have any issue with that beware of this and don't buy.  One problem I read in other reviews too is the camera stops rotating, this is software glitch, it cannot negotiate multiple/unsend message/replies from either app/MI server or device,  needed to either recalibrate or restart the device#Not having a web interface or rest api is a major negative for this device, adds a lot to privacy woes, as it appears the MI not willing to let you use the device without collecting your data from app."
33,Amazon Customer,Overall Nice product for home and office use,4.0 out of 5 stars,"  Hello All, its good product for home and office security,  its function is totally depend on your wifi speed and bandwidth, overall i can give 4 start :Drawback after using a month :1 I can see is 32 GM card can save up to 4-5 days data only, MI need to work on this.2 This camera will not be accessible without WIFI, (if wifi shut down then you can not access this camera ) MI need to work on this, it should be accessible as a wifi device to connect our mobile with this camera without wifi so that if there is no wifi then we can connect our mobile with this camera to see the live recordings.3 Its not weather proof as well, you cant put this camera outside your premises (office or home)This is what i observe in one month of usage.thanksDhiraj Ghai"
34,Vishal Jadhav,All good except one problem,3.0 out of 5 stars,"  Good:- Clear night vision.- Easy to setup. Got it ready in two minutes.- Recorded videos take up less space. 16 GB can store up to two days of recording.- Two way calling is really handy feature.Bad:- Although it records detected motions right away, sometimes it takes hours to get the notification on phone. That kind of defeats the purpose."
35,Sumit Gupta,"Easy to set up, good quality, excellent 0lux capability",5.0 out of 5 stars,"  This was a breeze to set up. Detected via Mi Home app easily and configured. The night vision is amazing... very crisp greyscale video in pitch darkness (it has IR illuminators which can’t be seen unlike the red dots in cheap cameras). There is IR cut as well, for daylight, which provides better quality images. The mechanism for PTZ is silent and smooth and coverage is excellent."
36,BiPS,REVIEW AFTER 1YEAR must read,5.0 out of 5 stars,  After its warranty gets over out starts showing many errors. Now after 8months it is not able to scan QR code which is important to pair. And thus can't be repaired only replaced in service center of any defect comes within warranty. Now it is only eligible to go to dustbin 😔😔😔My old review :-Very great product. Very easy 2 install. Just u need is an active internet connection and a memory card. Then u can see Ur home from any corner of the world and also frighten the thieves by the voice feature and also listen what they speak. TRULY TERRIFIC. but Xiaomi is now not keeping this in stock🤪
37,tej,Waste of money does not work offline,1.0 out of 5 stars,"  It does not work offline , waste of money more over u cant return it only replace .How silly even by putting a memory card inside it it needs a wifi connection to work"
38,Deepak kumar,Good Product with lots of CONS,4.0 out of 5 stars,"  Hi,First of all it's Nice product, But Don't think its a perfect product. I can understand that MI did good work but still there are many holes which they have to coverPros1) Night Vision is Ok Camera recording quality is good2) good choice for Home use onlycons1) Its white color, you need to give extra care, It start looking dusty soon2) There is no option to control this device locally you need internet connection to maintain this through MI Home Application ( if any options please correct me)3) MI didn't provide cloud storage with this product (were you serious before launching this product Team MI ? you need to give some space on cloud, only providing camera is not enough)4) I didn't get the wireless option to transfer my recorded video in SD card to any PC Laptop (Not everyone having NAS storage by the way, Team MI)5) When we initially setup this camera, we use wifi Dongle or Hotspot that is Ok, But supposed we don't have that Dongle available then we need to repeat complete setup of camera again for new WIFI connection, No options in MI Home Apps(Team MI please answer, Were you really serious before launching this product ?)6) sometime we need to adjust the camera position via online, it rotate its position some time less or vice versa7) when you are using this camera in night or low light, so switching between infrared and normal /low light Vision some tick tick sounds comes from camera (Why this so ?)Team MI now you have to answer .... are u serious ?8) When internet is down, there is no chance that you can login into camera and check and do trobleshooting9) I purchased 64GB card after buying this, So without memory card it not good to purchase10) MI Apps having recording video, but if we minimize the apps ot stop recoding,product is good but i am not happy with Software or Apps development team, they did not done their work with honesty"
39,puneet vikram singh,Very very very bad product,1.0 out of 5 stars,"  Image quality n night vision is gud bt the main part that's the connectivity is pathetic.. very bad product, it remains offline all the time .few days it worked well and later on all i could see was device offline instead of footage.Update: it has been more than a month and it keeps getting offline. Completely useless. Do not buy this."
40,Kundan Burnwal,Good picture quality. Buggy storage firmware,3.0 out of 5 stars,"  Camera looks cute. Moves 360 degrees horizontally and even up and down from the app itself. Picture quality is good. Nigh vision is okay and so is motion detection.I did thorough research on multiple brands of WiFi home surveillance cameras of Mi, D3D and Sricam. Surprisingly, Mi is the only brand of cameras in which you can transfer the Videos on SD Card directly to the Laptop. In D3D all models, you need a SD Card export tool to even detect the SD card on laptop (SD Card doesn't get FAT32 format but some custom format which is unrecognised by Windows) and BTW that tool never worked for me on my Windows 10 laptop.So I went for Mi.However Mi has other basic issues with storage. Even in inserting a clean new 64 GB class 10 SD card, it would record videos for maybe only a few hours in a day as per its own whims and fancies, although the router and camera (including internet) are on 24*7 and within a couple of days it would show SD Card Error. And once it shows that, you don't know when it stopped the recording on SD Card. In that case, you need to unmount and remove the card, reboot the device and insert the card again and it may start recording. Otherwise, you would need to transfer the contents to laptop from SD Card (by removing the card from camera and inserting into Laptop card slot) and then format the card again before use.If you intend to store and retrieve continuous recording, the camera is not right. Otherwise it is fine. It also has an interesting NAS feature by which you can directly record to a windows laptop shared folder or a hard disk attached to router running SMB 1.0 legacy protocol. In about 50 trials only once I was able to sync it to NAS. Remaining time it just fails to list the shared folders and hence fails to synchronise the contents to NAS If you intend this to be used for storage and retrieval of the videos, don't go for any wireless network camera. None of the brands do a good job. You must go for the traditional wired ones with DVR only."
41,Abhishek J.,"Useful product, Good buy for home, but not 100% secured.",3.0 out of 5 stars,"  Its already rated 4+ what else , it lives up to its expectation. Mine 3rd mi camera. The camera is good, night vision is good too, the features are very useful, hasselfree installation.Need a good wifi connection as using jiofi will buffer/ slow the video. Can control the movement and angle easily via ur smartphone but yes its slow.Also not 100% secured as the storage is within the camera itself and in case of emergency the entire camera setup can be stolen, wish they had cloud storage atleast 10 gb.Rest u may read the features to understand better."
42,Sandy,Worth your money,4.0 out of 5 stars,"  One of the best products purchased in the recent past. I was skeptical about Mi Cam and its features considering the price point. But surprisingly the product delivers excellent quality. The set up is easy and in a few seconds i got the camera up and running. The Mi Home App has a new UI and gives you a seamless viewing experience. The best part - you can share live feeds with multiple people. Haven't tested the motion de erection though. For best results, buy an sd card and plug it into the camera. This camera is definitely a value add and worth every penny. Not sure about the post sales services. Haven't encountered any problem till now"
43,Amit Singh,A perfect IP CCTV for modern homes!,5.0 out of 5 stars,"  When initially I was searching for IP CCTV, I saw many negative comments that this Mi 360’ that you cannot take out video from it & blah blah but somehow I managed courage to buy. I can confirm that it is one of the best CCTV’s out in market. It gives a very slight movement alert which can directly be saved into your mobile or share over Whatsapp or anywhere. Also, if you need full long video over 1 minute then you either need to pull our sd card or you can play video on phone & play a screen recorder to record. Speed & performance is good & installation was too easy."
44,suresh subramani,GOOD BUT CAN BE BETTER,4.0 out of 5 stars,"  OVERALL GOOD BUT THE FOLLOWING NEEDS ATTENTION.1.WHITE COLOR EASILY GETS DISCOLORED2.NO OPTION OF COPYING OR DOWNLOADING RECORDED VIDEOS TO PHONE WITHOUT REMOVING THE SD CARD IN MI HOME APP3.FAT32 SD CARD FORMAT IS REQUIRED. 64 GB HAS EXFAT FORMAT WHICH NEEDS REFORMATING WITH SOME SOFTWARES.4.AFTER SETUP WITH ONE ROUTER, NEEDS RESETTING TO CONNECT WITH OTHER ROUTERS IF YOU HAPPEN TO CHANGE THE ROUTER.NOT LIKE PHONE WI-FI.5.ONLY ONE MINUTE INTERVAL RECORDING. NO OTHER OPTIONS IN APP. ONE HOUR RECORDING WILL HAVE 60 VIDEOS FILES.6.NO AUDIO VOLUME CONTROL OPTION. EITHER NO VOLUME OR FULL VOLUME."
45,Shruti,Superb Review. Do read,5.0 out of 5 stars,"  Super product, easy to install.No issue in resuming operation after a power or internet reset. If you don't have an inverter, then black out time is about 50seconds. That's what it takes to resume after power is back.Motion detection is amazing. In my case, it even picks up leaf movement in the plants!!Picture quality is awesome.Sound 2 way is amazing. Just like a phone call.The only point of improvement:1. The time gap between motion detection instances could be given another option of 30seconds. If you set the recording to only when motion is detected, then it sometimes misses movements happened in less than 3 minutes.2. Chromecast support on the app would be good to cast live feed on the TVIn all, superb product from MI"
46,nauheed cyrusi,Highly Recomment - Best value for money home monitoring camera,5.0 out of 5 stars,  We got the camera mainly to keep an eye on our dog when hes alone at home and the product we've recieved is better than expected and checked all of the below boxes after 2 days of usage -- Easy to set up and install- Chic looking- Mi Home application is amazing with multiple customisations and automated features- 360deg rotation remotely from your phone- amazing motion detection and night visionOne minor hiccup of the experience was that intially the camera was not accepting the 64gb Sandisk SD card we bought separately. Howver later on we managed to insert it and smooth sailing ....
47,Midhun,Pretty impressive!,4.0 out of 5 stars,"  ----First of all, you need a working internet connection. Compared to Mi SXJ02ZM 1080P Basic, camera clarity is better and remotely controllable rotation is very handy. But Mi SXJ02ZM 1080P Basic's camera output is wider than Mi MJSXJ02CM 360°. Still camera clarity in low light is way better in Mi MJSXJ02CM 360°.----With 32GB card, approx 3-4 days recording possible in 1080p and 64GB supports up to 7-8 days. After that the older file will be deleted. It can power with a power bank with 2A output. 20000mAh power bank suits better. Night vision is impressive in both cameras and in Mi MJSXJ02CM 360°, image looks sharper.----200KB/s upload and download speeds are enough for both cameras. It even works on 50KB/s upload speed, but buffering take some seconds. Buy Mi MJSXJ02CM 360° instead of Mi SXJ02ZM 1080P Basic."
48,VAIVIDHYAM,Overall I'll call it value for money although it has several limitations..,5.0 out of 5 stars,"  It consumes around 10gb of storage in 24hours in 'HD' mode.Pros :Night mode recording.Clarity of camera.Multiple users can watch camera recording at same time.Two way communication.1080p HD recording.Can record videos without internet , requires internet connection after switching camera on - after that you can disconnect & recording will continue.ICons:It doesn't support AUTO 360° rotation. User has to manually adjust camera from application.If there is a power outage or by any chance you disconnect power source , camera would start recording again after you connect it to internet.You need to keep camera connected to a power source for 24hours - charging option would've been helpful here.Application sometimes sends motion alerts after delay of 30minutes(approx).Memory card of storage capacity greater than 64gb are not supported."
49,Customer,Good product but requires further improvement.,3.0 out of 5 stars,"  It does it's job of surveillance inside the home. Pretty convenient to use, best is the 360 angle setting. The movement of camera is also noiseless, so no one will be aware if the camera is present or not. Status light can also be switched off for incognito. But night vision is next to horrible. It will detect a person during the night but fails to get a clear image of face. Would have been better if it had infrared light all around the camera such as the CP Plus/Hikvision. Didn't face any issue's while pairing with the apps like many users have complained. Yeah, there is lag in adjusting camera angels etc. If there is power outbreak, camera sometimes doesn't automatically come back to the same postion it was set up. Requires aligning again.It was a breeze to set up the app. Another suggestion to Xiaomi would be to let go off the micro usb port at the camera's end and make it a fixed end, for security reasons ofcourse. It's easier for anyone to just pull out the cable from the camera.Clarity during the day is adequate and apt for the price it is being sold at.5ghz support should be provided in next upgrade camera's and longer cable length option along with higher storage option. 64GB lasts for about a week in 1080p. 720p is horrible.Lastly, if you have an Android based TV/IOT box, you can download the app on your TV and you can live stream with much better screen ratio rather than your phone/ipad."
50,Elangovan,The best for single camera and with two or three days backup,5.0 out of 5 stars,"  For a 64GB card you can get around 3 days. This works best with a regular internet connection to the device like any other monitoring cameras in the market.Looks good.Can be rotated, accessed via the Mobile application.The built in speaker is terrible and it is totally a marketing gimmick.The mic is ok and not that great.Not using the motion detection, so not sure of how it works.Better use for monitoring and cannot guarantee as a security device as the memory card stays in the camera unlike CCTV's."
51,Kalc,Pretty good,4.0 out of 5 stars,"  Was checking out the different options available without going into an elaborate security system. Just a simple camera with motion detection and cloud storage options.This one from MI is small, well made and easy to setup with the MI home app. Though it does not provide cloud storage services per se, there is a default where any motion causes a 6-10 s clip to be stored and a notification sent to your phone. This essentially means that there is a default cloud storage service available for free and it stores information for 7 days. I think this is great, because in case there is a break in, the SD card storage option is almost useless. But this option will work by default. And it can take clips at afrequency of 3 minutes or more.One feature missing is tracking motion, the camera doesnt move to track motion - it remains in its position, you can only move it through the app. You can also talk through the app. These options are there in most such security cams from China. American brands are not officially here - so there is no support.Picture quality is very good. There are quite a few setup options."
52,ASR,Great value for money with easy to use app.,5.0 out of 5 stars,"  Setting up the camera is a breeze and it's a nice looking device.The image is nice and crisp when there's sufficient light and the switch to night vision happens automatically.The range is quite good - pan and tilt (left and right, top and bottom) movement. The only restriction if any is in the downward movement (as in it would have been nice if the camera could move down a little more).Two way communication is ok but not that great. So if the person is more than say 10 feet away from the camera, they are not likely to hear  you trying to reach them.Motion detection is excellent and easy to configure - makes for an ideal baby monitor.NOTE: Does not work on 5Ghz Wifi - this is a slight downer as it sits on the 2.4Ghz spectrum that is now very crowded.The previous one I purchased has an SD card in it and make it easy to track movement over the last 1-2 days.Overall a great product with good software to match the hardware."
